# ['H0', 'ombh2', 'omch2', 'tau', 'As', 'ns']
6.777877760443824684e+01 2.236164514359106209e-02 1.193084909097829605e-01 4.586163190474817214e-02 2.058424598600490877e-09 9.709900819720497234e-01
6.874931839476440132e+01 2.238764551616410220e-02 1.167219418079386423e-01 7.514905056735017574e-02 2.172311672911664706e-09 9.751110022374330777e-01
6.874931839476440132e+01 2.238764551616410220e-02 1.167219418079386423e-01 7.514905056735017574e-02 2.172311672911664706e-09 9.751110022374330777e-01
6.874931839476440132e+01 2.238764551616410220e-02 1.167219418079386423e-01 7.514905056735017574e-02 2.172311672911664706e-09 9.751110022374330777e-01
6.874931839476440132e+01 2.238764551616410220e-02 1.167219418079386423e-01 7.514905056735017574e-02 2.172311672911664706e-09 9.751110022374330777e-01
6.874931839476440132e+01 2.238764551616410220e-02 1.167219418079386423e-01 7.514905056735017574e-02 2.172311672911664706e-09 9.751110022374330777e-01
6.874931839476440132e+01 2.238764551616410220e-02 1.167219418079386423e-01 7.514905056735017574e-02 2.172311672911664706e-09 9.751110022374330777e-01
6.874931839476440132e+01 2.238764551616410220e-02 1.167219418079386423e-01 7.514905056735017574e-02 2.172311672911664706e-09 9.751110022374330777e-01
6.874931839476440132e+01 2.238764551616410220e-02 1.167219418079386423e-01 7.514905056735017574e-02 2.172311672911664706e-09 9.751110022374330777e-01
6.769149806782604628e+01 2.255145658350835025e-02 1.198187926241071621e-01 7.822977051078541799e-02 2.203612891112453135e-09 9.664307741218735037e-01
6.901428391120120409e+01 2.254018573738520922e-02 1.162505575409859132e-01 1.052448904116913969e-01 2.306773928942630138e-09 9.717838617119216593e-01
6.901428391120120409e+01 2.254018573738520922e-02 1.162505575409859132e-01 1.052448904116913969e-01 2.306773928942630138e-09 9.717838617119216593e-01
6.901428391120120409e+01 2.254018573738520922e-02 1.162505575409859132e-01 1.052448904116913969e-01 2.306773928942630138e-09 9.717838617119216593e-01
6.944706586385538571e+01 2.286942940219236289e-02 1.161718396199484804e-01 9.763429624395557338e-02 2.274044020716028483e-09 9.722996643739012512e-01
6.944706586385538571e+01 2.286942940219236289e-02 1.161718396199484804e-01 9.763429624395557338e-02 2.274044020716028483e-09 9.722996643739012512e-01
6.888412538061153612e+01 2.267242851842280263e-02 1.172557051153776952e-01 9.709370796355143440e-02 2.270294633096328290e-09 9.711371015405376728e-01
6.888412538061153612e+01 2.267242851842280263e-02 1.172557051153776952e-01 9.709370796355143440e-02 2.270294633096328290e-09 9.711371015405376728e-01
6.888412538061153612e+01 2.267242851842280263e-02 1.172557051153776952e-01 9.709370796355143440e-02 2.270294633096328290e-09 9.711371015405376728e-01
6.888412538061153612e+01 2.267242851842280263e-02 1.172557051153776952e-01 9.709370796355143440e-02 2.270294633096328290e-09 9.711371015405376728e-01
6.771049217252812014e+01 2.250880724616480949e-02 1.195040630803822640e-01 7.744500329782537384e-02 2.196530062981765997e-09 9.661961011629042195e-01
6.771049217252812014e+01 2.250880724616480949e-02 1.195040630803822640e-01 7.744500329782537384e-02 2.196530062981765997e-09 9.661961011629042195e-01
6.771049217252812014e+01 2.250880724616480949e-02 1.195040630803822640e-01 7.744500329782537384e-02 2.196530062981765997e-09 9.661961011629042195e-01
6.771049217252812014e+01 2.250880724616480949e-02 1.195040630803822640e-01 7.744500329782537384e-02 2.196530062981765997e-09 9.661961011629042195e-01
6.771049217252812014e+01 2.250880724616480949e-02 1.195040630803822640e-01 7.744500329782537384e-02 2.196530062981765997e-09 9.661961011629042195e-01
6.771049217252812014e+01 2.250880724616480949e-02 1.195040630803822640e-01 7.744500329782537384e-02 2.196530062981765997e-09 9.661961011629042195e-01
6.882828715357476312e+01 2.265058561998118877e-02 1.168240604566115892e-01 1.037740845112986865e-01 2.291726037618650873e-09 9.756900748315396887e-01
6.882828715357476312e+01 2.265058561998118877e-02 1.168240604566115892e-01 1.037740845112986865e-01 2.291726037618650873e-09 9.756900748315396887e-01
6.882828715357476312e+01 2.265058561998118877e-02 1.168240604566115892e-01 1.037740845112986865e-01 2.291726037618650873e-09 9.756900748315396887e-01
6.923197332872904042e+01 2.269674395299209682e-02 1.158244583916857029e-01 9.585231808090828587e-02 2.249401539330126746e-09 9.789084238574644603e-01
6.923197332872904042e+01 2.269674395299209682e-02 1.158244583916857029e-01 9.585231808090828587e-02 2.249401539330126746e-09 9.789084238574644603e-01
6.854388871494604984e+01 2.246580635802658196e-02 1.175421703824784114e-01 1.044347167795695586e-01 2.299210259477484363e-09 9.762887680009366687e-01
6.854388871494604984e+01 2.246580635802658196e-02 1.175421703824784114e-01 1.044347167795695586e-01 2.299210259477484363e-09 9.762887680009366687e-01
6.854388871494604984e+01 2.246580635802658196e-02 1.175421703824784114e-01 1.044347167795695586e-01 2.299210259477484363e-09 9.762887680009366687e-01
6.854388871494604984e+01 2.246580635802658196e-02 1.175421703824784114e-01 1.044347167795695586e-01 2.299210259477484363e-09 9.762887680009366687e-01
6.854388871494604984e+01 2.246580635802658196e-02 1.175421703824784114e-01 1.044347167795695586e-01 2.299210259477484363e-09 9.762887680009366687e-01
6.854388871494604984e+01 2.246580635802658196e-02 1.175421703824784114e-01 1.044347167795695586e-01 2.299210259477484363e-09 9.762887680009366687e-01
6.854388871494604984e+01 2.246580635802658196e-02 1.175421703824784114e-01 1.044347167795695586e-01 2.299210259477484363e-09 9.762887680009366687e-01
6.854388871494604984e+01 2.246580635802658196e-02 1.175421703824784114e-01 1.044347167795695586e-01 2.299210259477484363e-09 9.762887680009366687e-01
6.854388871494604984e+01 2.246580635802658196e-02 1.175421703824784114e-01 1.044347167795695586e-01 2.299210259477484363e-09 9.762887680009366687e-01
6.846860368132080055e+01 2.226669166059614541e-02 1.168374865669105367e-01 7.912082929292596489e-02 2.186060326943525263e-09 9.773674836901431462e-01
6.909849693212844102e+01 2.249084743728354055e-02 1.158357870043797838e-01 6.004099481496060625e-02 2.099698401014721487e-09 9.792064644177028709e-01
6.909849693212844102e+01 2.249084743728354055e-02 1.158357870043797838e-01 6.004099481496060625e-02 2.099698401014721487e-09 9.792064644177028709e-01
6.909849693212844102e+01 2.249084743728354055e-02 1.158357870043797838e-01 6.004099481496060625e-02 2.099698401014721487e-09 9.792064644177028709e-01
6.909849693212844102e+01 2.249084743728354055e-02 1.158357870043797838e-01 6.004099481496060625e-02 2.099698401014721487e-09 9.792064644177028709e-01
6.909849693212844102e+01 2.249084743728354055e-02 1.158357870043797838e-01 6.004099481496060625e-02 2.099698401014721487e-09 9.792064644177028709e-01
6.909849693212844102e+01 2.249084743728354055e-02 1.158357870043797838e-01 6.004099481496060625e-02 2.099698401014721487e-09 9.792064644177028709e-01
6.909849693212844102e+01 2.249084743728354055e-02 1.158357870043797838e-01 6.004099481496060625e-02 2.099698401014721487e-09 9.792064644177028709e-01
6.909849693212844102e+01 2.249084743728354055e-02 1.158357870043797838e-01 6.004099481496060625e-02 2.099698401014721487e-09 9.792064644177028709e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.970574518348880133e+01 2.260253170598555336e-02 1.148047696230028863e-01 4.854641293125252360e-02 2.045847574005351270e-09 9.825592702917796961e-01
6.921706922797113748e+01 2.230578736351769217e-02 1.155655158906249563e-01 6.017587874549572280e-02 2.101909294939163447e-09 9.811049495363344253e-01
6.921706922797113748e+01 2.230578736351769217e-02 1.155655158906249563e-01 6.017587874549572280e-02 2.101909294939163447e-09 9.811049495363344253e-01
6.921706922797113748e+01 2.230578736351769217e-02 1.155655158906249563e-01 6.017587874549572280e-02 2.101909294939163447e-09 9.811049495363344253e-01
6.921706922797113748e+01 2.230578736351769217e-02 1.155655158906249563e-01 6.017587874549572280e-02 2.101909294939163447e-09 9.811049495363344253e-01
6.921706922797113748e+01 2.230578736351769217e-02 1.155655158906249563e-01 6.017587874549572280e-02 2.101909294939163447e-09 9.811049495363344253e-01
6.904010937867361974e+01 2.234599830048435848e-02 1.159685535297058923e-01 5.200277326216922597e-02 2.066485282601468582e-09 9.818414467453506767e-01
6.904010937867361974e+01 2.234599830048435848e-02 1.159685535297058923e-01 5.200277326216922597e-02 2.066485282601468582e-09 9.818414467453506767e-01
6.903859570514346444e+01 2.238361896018304514e-02 1.159682430176893625e-01 7.446220697794760091e-02 2.165544058494753219e-09 9.802392863334458140e-01
6.676556289258283527e+01 2.215004895572858859e-02 1.210249611878095877e-01 6.367274121344264348e-02 2.139474639970723851e-09 9.720233935112093659e-01
6.676556289258283527e+01 2.215004895572858859e-02 1.210249611878095877e-01 6.367274121344264348e-02 2.139474639970723851e-09 9.720233935112093659e-01
6.676556289258283527e+01 2.215004895572858859e-02 1.210249611878095877e-01 6.367274121344264348e-02 2.139474639970723851e-09 9.720233935112093659e-01
6.676556289258283527e+01 2.215004895572858859e-02 1.210249611878095877e-01 6.367274121344264348e-02 2.139474639970723851e-09 9.720233935112093659e-01
6.676556289258283527e+01 2.215004895572858859e-02 1.210249611878095877e-01 6.367274121344264348e-02 2.139474639970723851e-09 9.720233935112093659e-01
6.676556289258283527e+01 2.215004895572858859e-02 1.210249611878095877e-01 6.367274121344264348e-02 2.139474639970723851e-09 9.720233935112093659e-01
